Year,Country,Description,Deaths,ByTeslaCount,ByOtherPartyCount,ByUndeterminedCount,ByInanimateObjectCount,PedestrianInvolvedCount,MotorcycleInvolvedCount,AutoPilotOnCount
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,1,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,0,1,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,1,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,1,0,0,0,1,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,1,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,1,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,1,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,1,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,0,1,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,1,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,1,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,0,1,0,0,1,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,0,1,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,1,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,1,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,1,0,0,0,1,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,0,1,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,0,1,0,0,0,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,1,0,0
2020,Portugal,Tesla driver crashes into pole and dies in resulting fire,1,1,0,0,0,1,0,0
